event_id,time,space,variable,speed,acc,duration
2510,22,2.194,Brake,10.635155,0.41187054,12
2510,22,1.859,Brake,25.093334,0.62440616,14
2510,25,1.839,Brake,18.763334,0.54512846,7
2510,26,2.413,Acceleration,6.06,0.41196534,4
2510,27,2.522,Acceleration,7.24,0.4649906,4
2510,28,2.698,Acceleration,7.43,0.48844412,5
2510,29,2.87,Acceleration,7.5,0.4945624,5
2510,30,1.958,Acceleration,14.153334,0.25832805,9
2610,4,2.904,Acceleration,29.425312,0.18990242,18
2610,6,1.508,Brake,28.691381,0.8652668,7
2610,6,1.481,Brake,28.691381,0.5635887,2
2610,8,1.356,Brake,31.391333,0.7134388,14
2610,8,1.354,Acceleration,9.218778,0.3000571,4
2610,9,1.32,Brake,23.070423,0.6313733,8
2610,9,1.538,Acceleration,21.771223,0.3525159,6
2610,9,1.672,Brake,20.433668,0.515138,6
2610,9,1.836,Acceleration,22.388556,0.372457,11
2610,9,1.881,Brake,18.83889,0.4826204,8
2610,10,1.918,Brake,17.950304,0.31461173,14
2610,10,1.91,Acceleration,7.8710003,0.23044635,2
2610,11,2.229,Acceleration,17.604221,0.29084203,6
2610,11,2.558,Acceleration,28.150335,0.4626793,18
2610,11,2.912,Acceleration,31.751446,0.23841766,4
2610,15,0.817,Acceleration,29.541582,0.21412608,5
2610,15,0.77,Brake,32.060112,0.22032677,2
2610,15,1.325,Brake,29.385002,0.6399965,10
2610,15,1.325,Brake,18.375889,0.97903013,7
2610,16,1.372,Brake,21.283335,0.32664916,14
2610,17,1.717,Brake,13.663334,0.31407267,5
2610,18,2.155,Acceleration,10.350556,0.32524416,5
2610,18,2.146,Acceleration,10.350556,0.28112972,4
2610,18,2.259,Acceleration,7.356556,0.3282323,3
2610,20,2.402,Acceleration,17.073334,0.48334557,18
2610,22,1.373,Acceleration,13.463334,0.240837,10
2610,25,0.724,Brake,23.308025,0.36152753,14
2610,26,0.661,Brake,29.599274,0.40238053,14
2610,26,0.636,Brake,19.825184,0.4187546,6
2610,27,0.46,Brake,25.080528,0.4725053,4
2610,27,0.589,Brake,25.080528,0.38600788,14
2610,27,0.469,Brake,24.523335,0.4945624,10
2610,28,0.661,Brake,12.323333,0.35418144,4
2610,28,1.356,Acceleration,15.855111,0.2528442,13
2610,29,1.482,Brake,14.466111,0.42071235,6
2610,29,0.332,Brake,21.868153,0.25937852,5
2610,29,1.453,Acceleration,18.163334,0.25492907,11
2610,29,2.191,Brake,10.556334,0.31054896,5
2610,30,0.425,Brake,25.333334,0.26716554,14
2710,1,0.746,Brake,18.112679,0.32733795,14
2710,1,1.184,Acceleration,13.903333,0.30625468,9
2710,2,0.709,Brake,21.151787,0.48674676,14
2710,3,2.652,Brake,30.193335,0.24881081,5
2710,3,0.675,Brake,15.809391,0.39832938,11
2710,4,0.317,Acceleration,9.8741665,0.23755033,4
2710,4,0.271,Brake,13.532045,0.45978653,13
2710,5,0.244,Acceleration,11.165856,0.3867582,4
2710,5,0.271,Brake,11.121911,0.327887,2
2710,5,0.371,Acceleration,6.4299054,0.2516209,4
2710,6,0.355,Acceleration,5.667481,0.29997584,2
